"INDUSTRY_9S","Education","Sex","Age","Item","UNIT","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year",
"Electricity, gas, steam and water supply","College and university and over","Female","55 ~ 59","Employment","Persons","6","16","8","10","10","62","69","83","117","84","135",
"Electricity, gas, steam and water supply","College and university and over","Female","60 years old and over","Hours worked","Hours","-","160","168","160","157.7","152","174.1","168","-","178","152",
"Electricity, gas, steam and water supply","College and university and over","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","-","6249","12654","3626","5241","1378","4209","3882","-","2226","2515",
"Electricity, gas, steam and water supply","College and university and over","Female","60 years old and over","Employment","Persons","-","6","1","1","11","2","10","4","-","6","9",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","19 years old and less","Hours worked","Hours","-","297","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","1159","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","19 years old and less","Employment","Persons","-","10","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","20 ~ 24","Hours worked","Hours","-","-","-","220","-","211.5","168.6","209.3","180.4","152","184",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","1250","-","2016","1468","1940","2530","2065","3348",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","20 ~ 24","Employment","Persons","-","-","-","17","-","41","53","56","54","16","10",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","25 ~ 29","Hours worked","Hours","191.6","212","238.5","213.9","182.3","213.2","234.5","227.6","296.9","168.7","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","2477","1264","4060","1344","2539","1762","2096","2125","2551","2091","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","25 ~ 29","Employment","Persons","9","83","28","25","65","111","158","153","37","32","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","30 ~ 34","Hours worked","Hours","210.7","224.9","198.4","192.4","186.3","229.5","248.4","230.7","267.3","199.8","143.7",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2337","1442","2323","1485","2245","2045","2473","2310","2030","3261","2088",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","30 ~ 34","Employment","Persons","65","49","57","82","135","92","91","88","120","38","58",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","35 ~ 39","Hours worked","Hours","201.8","200.5","192.3","195.7","197.4","196.8","187","199.9","215.8","226.9","178.5",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1975","2324","2507","1932","1996","2080","2702","2591","2492","3211","4037",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","35 ~ 39","Employment","Persons","174","112","140","115","98","166","84","110","107","75","54",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","40 ~ 44","Hours worked","Hours","206.4","200.6","195.5","212.5","199.8","185.8","188.6","189","186.5","222.2","196.5",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2238","2446","2464","2310","2450","2992","2749","1660","2509","2240","3314",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","40 ~ 44","Employment","Persons","667","386","432","305","186","144","77","16","118","94","61",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","45 ~ 49","Hours worked","Hours","222","211.2","214.3","207.7","199.7","186.3","197.6","199.6","222.5","205","177.3",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2382","2646","2516","2435","2663","2794","2880","3703","3161","4084","3478",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","45 ~ 49","Employment","Persons","1218","799","752","642","457","527","345","195","152","117","195",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","50 ~ 54","Hours worked","Hours","216.3","214.6","202.5","202.9","198","194.4","190.5","207.1","208.6","196.3","180.7",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2551","2744","2741","2651","2518","3039","3202","3501","3379","4263","4451",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","50 ~ 54","Employment","Persons","2326","2166","1587","1198","1077","920","858","492","444","382","335",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","55 ~ 59","Hours worked","Hours","224.8","211.5","202.9","197.3","199.7","186.1","191.9","190.5","199.6","196.2","187.8",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2464","2553","2560","2575","2554","3085","3232","3252","3496","3764","4034",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","55 ~ 59","Employment","Persons","1553","1772","1353","1143","1176","1580","1801","1643","1020","1036","836",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","60 years old and over","Hours worked","Hours","225.4","192.5","198.3","203.1","188.1","186.2","198.9","192.2","199.1","180","171.8",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1846","1759","1665","1819","1875","2350","2310","2481","2545","2766","3023",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Male","60 years old and over","Employment","Persons","1152","1190","1111","1251","1199","1500","1484","1457","1381","1507","1457",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","178","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","1607","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","7","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","20 ~ 24","Hours worked","Hours","-","-","160","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","1188","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","20 ~ 24","Employment","Persons","-","-","31","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","25 ~ 29","Hours worked","Hours","-","-","-","-","-","-","-","152","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","1570","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","25 ~ 29","Employment","Persons","-","-","-","-","-","-","-","8","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","30 ~ 34","Hours worked","Hours","-","-","-","-","-","-","-","-","-","152","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","1830","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","30 ~ 34","Employment","Persons","-","-","-","-","-","-","-","-","-","11","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","35 ~ 39","Hours worked","Hours","196.3","190","176","160","218.8","160","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2048","2701","1280","1434","1468","1246","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","35 ~ 39","Employment","Persons","40","7","11","9","32","16","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","40 ~ 44","Hours worked","Hours","189.3","190.2","200.8","181","176","208","-","210","168","160","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1880","2020","1361","1270","1587","1550","-","1503","1600","2334","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","40 ~ 44","Employment","Persons","50","30","82","46","12","12","-","17","18","37","-",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","45 ~ 49","Hours worked","Hours","182.6","183.8","199.9","172.1","213.7","179.6","-","218","224.3","168","159.6",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1910","1829","1657","1405","1586","1706","-","5839","2486","2583","2682",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","45 ~ 49","Employment","Persons","141","53","70","70","113","49","-","16","33","32","46",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","50 ~ 54","Hours worked","Hours","203.5","184.8","196.7","169.2","189.6","193.8","186.8","193.4","211.5","197.9","168.3",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1802","1610","1796","1350","1740","1527","1833","1812","2567","2051","2348",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","50 ~ 54","Employment","Persons","293","193","197","130","266","160","112","40","49","52","49",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","55 ~ 59","Hours worked","Hours","195.9","174.3","179","174.3","184.9","167.3","188.7","191.3","181.9","165.3","137.6",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1438","1499","1459","1501","1414","2329","1766","2251","2141","2605","2090",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","55 ~ 59","Employment","Persons","252","115","304","179","371","228","327","166","195","82","85",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","60 years old and over","Hours worked","Hours","165.6","163.1","172.1","158.4","199.9","148.3","187.4","179.9","179.8","179.6","154.8",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","871","933","1161","1091","1273","1279","1632","1561","1899","1979","2040",
"Sewerage, waste management, materials recovery and remediation activities","Under middle shcool","Female","60 years old and over","Employment","Persons","282","121","229","271","252","378","219","201","240","297","313",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","19 years old and less","Hours worked","Hours","192","192","-","180","203.1","237.8","176","175.8","174.9","175.5","-",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","964","1057","-","2923","1786","1955","1616","1620","2145","2036","-",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","19 years old and less","Employment","Persons","9","10","-","16","31","25","12","36","31","71","-",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","20 ~ 24","Hours worked","Hours","230.6","195.2","191","175","188.6","197.4","198.7","192.5","184.3","181.4","170.6",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1595","1681","2254","1585","1654","2212","2314","2011","2371","2346","2419",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","20 ~ 24","Employment","Persons","77","161","197","175","156","303","288","182","299","398","471",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","25 ~ 29","Hours worked","Hours","213.8","201","200.6","183.6","178.1","201.3","208.3","191.1","208","182.5","180.3",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","2195","2086","2039","1970","2089","2377","2341","2513","2673","2722","2959",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","25 ~ 29","Employment","Persons","923","931","717","1011","826","646","718","860","835","978","980",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","30 ~ 34","Hours worked","Hours","209.8","212.5","206.2","193.4","188.3","192.5","190.2","195.6","193.8","191.1","186.1",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2433","2447","2395","2360","2364","2510","2457","2435","2808","3125","3161",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","30 ~ 34","Employment","Persons","1703","1512","1522","1699","1927","1461","1464","1481","1492","1419","1384",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","35 ~ 39","Hours worked","Hours","209.5","210.3","201.1","198.2","191.1","186.4","198.6","197.4","196.9","188.6","177.9",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2428","2593","2545","2618","2719","2692","2685","2879","3235","3449","3599",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","35 ~ 39","Employment","Persons","2513","2637","2934","2781","2539","2396","2616","2214","2369","2239","2275",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","40 ~ 44","Hours worked","Hours","208.5","212.2","205","197.2","186","190.2","193.1","195.7","198.4","183.1","180.6",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2699","2720","2649","2773","2834","2924","2896","3112","3447","3807","4002",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","40 ~ 44","Employment","Persons","3924","3843","4491","3805","4118","3573","3881","3626","4083","3241","3463",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","45 ~ 49","Hours worked","Hours","208.8","210.6","204.1","197","185.7","194.9","196","199.9","197.9","186.3","183",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2513","2707","2632","2718","2951","3034","3179","3351","3597","3954","4116",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","45 ~ 49","Employment","Persons","4091","4152","4603","4177","4121","4797","5284","5127","4955","4598","4849",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","50 ~ 54","Hours worked","Hours","207.1","204.6","203.5","191.4","187.8","191.1","197.1","197.6","197.6","187.1","182.4",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","2530","2628","2832","2623","2828","3003","3111","3224","3489","3814","3979",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","50 ~ 54","Employment","Persons","3024","3267","3956","4441","5032","5313","5234","5440","6073","5338","5679",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","55 ~ 59","Hours worked","Hours","202.4","205.5","199.3","195.8","183.3","187.7","197.9","199","199.4","186.2","183.7",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","2259","2476","2502","2537","2724","3084","3033","3092","3393","3713","3894",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","55 ~ 59","Employment","Persons","2313","2543","2572","2806","3093","4279","5423","5964","5704","5928","6403",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","60 years old and over","Hours worked","Hours","200.2","199.2","199.1","188.7","181.4","189.7","196","196.8","190.7","182.8","176.3",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","1802","2252","2239","2161","2351","2415","2433","2467","2823","2919","3238",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Male","60 years old and over","Employment","Persons","1127","1398","1711","1597","1901","2906","3419","4310","3902","5095","5841",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","19 years old and less","Hours worked","Hours","225","-","180.2","160","172.9","162.5","178.7","190.4","173.2","159.8","162.3",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","1111","-","1089","1483","985","1474","1736","1686","1820","1672","2082",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","19 years old and less","Employment","Persons","9","-","38","12","42","38","93","58","84","67","40",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","20 ~ 24","Hours worked","Hours","185.1","187.3","171.7","182.2","162.5","174.2","176","178","168.4","168.9","164.2",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1452","1519","1798","1537","1725","1688","1802","1946","2208","2462","2287",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","20 ~ 24","Employment","Persons","19","57","93","116","79","70","84","116","120","162","200",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","25 ~ 29","Hours worked","Hours","195","188.8","182.3","175.3","170.9","171.3","190","206.2","173.5","161.4","173.8",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1423","1320","1637","1723","1449","2102","2122","1985","2200","1916","2479",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","25 ~ 29","Employment","Persons","290","331","214","169","205","111","59","113","129","67","201",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","30 ~ 34","Hours worked","Hours","196.7","190.4","170.2","183.3","176.1","160.9","189.9","185.3","168.6","157.3","186",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1678","1725","1833","1714","1663","2424","2004","2082","1997","1999","2535",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","30 ~ 34","Employment","Persons","274","234","336","332","256","129","189","224","228","213","155",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","35 ~ 39","Hours worked","Hours","203.9","199.2","181.4","174.5","178.9","161.2","186.7","181.6","185.6","160","170.6",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1734","1613","1727","1658","1676","2033","1934","1951","2297","2321","2537",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","35 ~ 39","Employment","Persons","377","421","523","477","398","321","323","252","391","290","382",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","40 ~ 44","Hours worked","Hours","204.5","197.2","195.3","181.2","175.2","173.6","185","173.6","178.8","162.1","164.7",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","1695","1640","1646","1688","1904","1966","2085","2085","2210","2162","2376",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","40 ~ 44","Employment","Persons","448","502","528","520","729","801","656","596","730","628","717",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","45 ~ 49","Hours worked","Hours","211.9","198.6","193.2","182.2","182","174.4","185.4","182","184.5","161.5","160",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","1682","1715","1756","1742","1828","2217","2212","2280","2498","2491","2518",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","45 ~ 49","Employment","Persons","386","487","520","727","631","739","771","747","605","828","757",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","50 ~ 54","Hours worked","Hours","207.1","200.7","195.7","171.5","176.6","175.1","191.4","181.3","190.1","162.8","158.9",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","1666","1876","1945","1813","2395","1889","1975","2024","2344","2891","3040",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","50 ~ 54","Employment","Persons","394","373","565","771","605","844","1079","901","605","675","665",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","55 ~ 59","Hours worked","Hours","203.4","196.1","188.7","170.8","185","180.8","191.8","186.3","181.1","169.9","165.2",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","1729","2063","1984","1545","1921","2371","2431","2384","3129","2929","3021",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","55 ~ 59","Employment","Persons","148","171","306","374","198","392","662","977","723","956","842",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","60 years old and over","Hours worked","Hours","186.1","197.7","193.4","178.4","174.6","170.9","196.5","190.1","186","161.4","160.6",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2598","2532","1566","1536","2178","1771","2144","1820","2258","2605","2738",
"Sewerage, waste management, materials recovery and remediation activities","High shcool","Female","60 years old and over","Employment","Persons","166","214","193","168","260","195","235","456","506","486","679",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","20 ~ 24","Hours worked","Hours","197.9","182.7","174.5","166.5","161.5","197.6","194.1","163.7","193.4","212.4","169.1",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1531","1434","1907","1781","1705","1942","1928","1863","2431","2686","2319",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","20 ~ 24","Employment","Persons","166","106","31","129","120","141","103","89","205","196","106",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","25 ~ 29","Hours worked","Hours","183.9","192.5","183.8","178.8","170.5","186.3","186.4","188.8","181.2","173.4","173",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1732","1877","1960","2091","2174","2433","2073","2268","2632","2720","2800",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","25 ~ 29","Employment","Persons","1095","741","603","567","599","557","344","481","466","576","633",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","30 ~ 34","Hours worked","Hours","200.1","199.1","190.7","181.5","175.3","181.6","186.9","205.9","183.6","179.3","169.2",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","2384","2330","2326","2258","2458","2474","2660","2973","2889","3109","3073",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","30 ~ 34","Employment","Persons","866","1153","1192","1136","1198","1191","1085","868","630","576","756",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","35 ~ 39","Hours worked","Hours","204.2","211.1","199.5","176.3","174.9","181","185.4","191.1","189.2","184.5","178",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","2690","2667","2850","2687","2830","3224","3043","3311","3244","3304","3362",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","35 ~ 39","Employment","Persons","910","867","1271","1040","1244","1298","1091","1462","1196","1188","1265",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","40 ~ 44","Hours worked","Hours","204.8","200.4","197.8","185.9","181.1","182.5","188.8","191.8","188.5","179","175.9",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","40 ~ 44","Total monthly wage (including monthly special payment)","In Thousand Won","2620","2647","3206","2997","3494","3348","3365","3492","3814","3790","4003",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","40 ~ 44","Employment","Persons","665","646","875","827","971","1349","1142","1603","1231","1434","1481",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","45 ~ 49","Hours worked","Hours","185.7","198.3","193.4","175.1","175.2","178.4","186.7","192.6","192","174.9","173.4",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","45 ~ 49","Total monthly wage (including monthly special payment)","In Thousand Won","2650","2943","2929","2957","3539","3711","3604","4038","4632","4612","4184",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","45 ~ 49","Employment","Persons","530","672","769","770","628","986","962","1084","1231","1110","1411",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","50 ~ 54","Hours worked","Hours","195.1","185.9","178.9","176.5","173.7","175.4","183.6","185.8","188.4","179.8","176.4",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","50 ~ 54","Total monthly wage (including monthly special payment)","In Thousand Won","3023","3038","3595","3741","4125","4200","4466","4147","4707","4472","4784",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","50 ~ 54","Employment","Persons","205","309","538","667","915","661","622","841","621","654","973",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","55 ~ 59","Hours worked","Hours","201","168.7","191.3","176.2","166.8","168.5","180.3","191.2","182.9","168.3","169.1",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","55 ~ 59","Total monthly wage (including monthly special payment)","In Thousand Won","3063","4450","3144","3408","4486","3495","3957","4301","4503","4720","5001",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","55 ~ 59","Employment","Persons","86","108","229","300","329","464","692","709","725","930","902",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","60 years old and over","Hours worked","Hours","208","168.9","175.9","176.4","170","161","175.2","163.3","193.8","163.3","164.2",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","60 years old and over","Total monthly wage (including monthly special payment)","In Thousand Won","2137","2044","2427","1700","2169","2298","1972","2400","2742","2674","3011",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Male","60 years old and over","Employment","Persons","12","183","192","203","171","269","279","284","381","378","622",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Female","19 years old and less","Hours worked","Hours","-","-","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Female","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","-","-","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Female","19 years old and less","Employment","Persons","-","-","-","-","-","-","-","-","-","-","-",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Female","20 ~ 24","Hours worked","Hours","184.3","170.9","186.3","180.9","163.3","146.3","182.2","178.6","184.2","155.3","155.3",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Female","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","1180","1497","1549","1154","1483","1380","1873","1710","1908","2197","2570",
"Sewerage, waste management, materials recovery and remediation activities","Jonior college","Female","20 ~ 24","Employment","Persons","68","54","52","170","107","64","86","71","67","98","83",
