Industry,Education,Sex,Age,Item,UNIT,2002 Year,2003 Year,2004 Year,2005 Year,2006 Year,2007 Year,2008 Year
4,College and university and over,Female,55 ~ 59,Monthly Total wage,Won,,,,5328000,3799833,,5427141
4,College and university and over,Female,55 ~ 59,Employment,Persons,,,,2,6,,4
4,College and university and over,Female,60 years old and over,Total hours worked,Hours,,,,,,,-
4,College and university and over,Female,60 years old and over,Monthly Total wage,Won,,,,,,,-
4,College and university and over,Female,60 years old and over,Employment,Persons,,,,,,,-
5,Under middle shcool,Male,19 years old and less,Total hours worked,Hours,,,,192,,,-
5,Under middle shcool,Male,19 years old and less,Monthly Total wage,Won,,,,989000,,,-
5,Under middle shcool,Male,19 years old and less,Employment,Persons,,,,43,,,-
5,Under middle shcool,Male,20 ~ 24,Total hours worked,Hours,169,192,191.7,228,,248,165.3
5,Under middle shcool,Male,20 ~ 24,Monthly Total wage,Won,1427000,1299000,1148167,1064333,,1464356,852333
5,Under middle shcool,Male,20 ~ 24,Employment,Persons,66,29,132,270,,9,4
5,Under middle shcool,Male,25 ~ 29,Total hours worked,Hours,248.8,189.8,279.9,274.7,168,,181.7
5,Under middle shcool,Male,25 ~ 29,Monthly Total wage,Won,1035300,1134767,1580389,1681783,1153250,,1717799
5,Under middle shcool,Male,25 ~ 29,Employment,Persons,114,219,36,92,24,,137
5,Under middle shcool,Male,30 ~ 34,Total hours worked,Hours,224.6,186,200,208,244.6,178.9,189.3
5,Under middle shcool,Male,30 ~ 34,Monthly Total wage,Won,1318424,1066056,932202,1590434,1320824,1175412,1205586
5,Under middle shcool,Male,30 ~ 34,Employment,Persons,657,445,218,737,364,615,261
5,Under middle shcool,Male,35 ~ 39,Total hours worked,Hours,204.6,213,213.8,197.8,196.1,183.6,204.4
5,Under middle shcool,Male,35 ~ 39,Monthly Total wage,Won,1567918,2050908,1844379,1520250,2190665,1150766,2134231
5,Under middle shcool,Male,35 ~ 39,Employment,Persons,1207,272,494,943,573,883,379
5,Under middle shcool,Male,40 ~ 44,Total hours worked,Hours,208.8,192,202.4,203.2,239.5,218.2,213.1
5,Under middle shcool,Male,40 ~ 44,Monthly Total wage,Won,1475507,1358259,1385141,1717568,1709547,2008203,1876850
5,Under middle shcool,Male,40 ~ 44,Employment,Persons,1690,2577,1589,3433,958,656,774
5,Under middle shcool,Male,45 ~ 49,Total hours worked,Hours,202.3,203.6,196.6,196.4,224.7,200.2,185.1
5,Under middle shcool,Male,45 ~ 49,Monthly Total wage,Won,1514196,1672137,1475456,1556695,1976856,1931547,1823413
5,Under middle shcool,Male,45 ~ 49,Employment,Persons,2974,2322,2311,5064,2655,1592,1851
5,Under middle shcool,Male,50 ~ 54,Total hours worked,Hours,202,196.1,203.1,203,222.1,194,194.6
5,Under middle shcool,Male,50 ~ 54,Monthly Total wage,Won,1479735,1723741,1562314,1630599,2126358,2161438,2491393
5,Under middle shcool,Male,50 ~ 54,Employment,Persons,1371,1977,1437,3612,2315,2254,2319
5,Under middle shcool,Male,55 ~ 59,Total hours worked,Hours,185.1,197.1,193.1,202.4,228,192.4,244.8
5,Under middle shcool,Male,55 ~ 59,Monthly Total wage,Won,1264490,1502600,1305985,1483063,1877922,1842047,2147294
5,Under middle shcool,Male,55 ~ 59,Employment,Persons,1124,1312,1211,4608,1631,2022,1540
5,Under middle shcool,Male,60 years old and over,Total hours worked,Hours,193.6,183.6,202.8,213,204.7,189.6,186.8
5,Under middle shcool,Male,60 years old and over,Monthly Total wage,Won,1414406,1301915,1298921,1466422,1237901,1539008,1322862
5,Under middle shcool,Male,60 years old and over,Employment,Persons,936,1038,1282,3626,879,3360,2081
5,Under middle shcool,Female,19 years old and less,Total hours worked,Hours,,,,,,,-
5,Under middle shcool,Female,19 years old and less,Monthly Total wage,Won,,,,,,,-
5,Under middle shcool,Female,19 years old and less,Employment,Persons,,,,,,,-
5,Under middle shcool,Female,20 ~ 24,Total hours worked,Hours,191.8,,198,,,,179
5,Under middle shcool,Female,20 ~ 24,Monthly Total wage,Won,777064,,909000,,,,1273194
5,Under middle shcool,Female,20 ~ 24,Employment,Persons,36,,34,,,,251
5,Under middle shcool,Female,25 ~ 29,Total hours worked,Hours,189,184,,217.4,168,160,192.9
5,Under middle shcool,Female,25 ~ 29,Monthly Total wage,Won,522500,811000,,1198370,1535000,2389000,1276229
5,Under middle shcool,Female,25 ~ 29,Employment,Persons,101,23,,46,5,5,96
5,Under middle shcool,Female,30 ~ 34,Total hours worked,Hours,,,,253.3,349,192.8,129.8
5,Under middle shcool,Female,30 ~ 34,Monthly Total wage,Won,,,,1853625,2545000,2054193,454110
5,Under middle shcool,Female,30 ~ 34,Employment,Persons,,,,8,44,14,124
5,Under middle shcool,Female,35 ~ 39,Total hours worked,Hours,216,,184,210.2,204,160,244.6
5,Under middle shcool,Female,35 ~ 39,Monthly Total wage,Won,2055995,,796000,1238366,1246000,2677000,977648
5,Under middle shcool,Female,35 ~ 39,Employment,Persons,22,,9,161,7,5,150
5,Under middle shcool,Female,40 ~ 44,Total hours worked,Hours,190.5,186.3,185.1,208.6,219.5,167.2,213.9
5,Under middle shcool,Female,40 ~ 44,Monthly Total wage,Won,1335561,948423,949234,1213528,1296824,1835944,1702079
5,Under middle shcool,Female,40 ~ 44,Employment,Persons,308,201,273,352,136,93,142
5,Under middle shcool,Female,45 ~ 49,Total hours worked,Hours,177.6,240.6,223.2,195.5,184.3,162.9,228.7
5,Under middle shcool,Female,45 ~ 49,Monthly Total wage,Won,580139,1014544,981886,1299371,919114,1642398,1467692
5,Under middle shcool,Female,45 ~ 49,Employment,Persons,58,270,149,509,263,804,660
5,Under middle shcool,Female,50 ~ 54,Total hours worked,Hours,184.2,287.7,198.2,180.9,222.9,162.9,232.2
5,Under middle shcool,Female,50 ~ 54,Monthly Total wage,Won,613384,1677319,855523,1177797,1057299,2037464,1303373
5,Under middle shcool,Female,50 ~ 54,Employment,Persons,93,276,327,809,408,664,844
5,Under middle shcool,Female,55 ~ 59,Total hours worked,Hours,175.2,259.3,210.4,169.2,174.2,183.6,190.9
5,Under middle shcool,Female,55 ~ 59,Monthly Total wage,Won,752260,1479079,870703,988254,910232,1218141,959618
5,Under middle shcool,Female,55 ~ 59,Employment,Persons,108,239,195,477,164,403,284
5,Under middle shcool,Female,60 years old and over,Total hours worked,Hours,210,216.6,,158.8,161.4,178.3,204.8
5,Under middle shcool,Female,60 years old and over,Monthly Total wage,Won,884000,1434529,,857744,800407,1083712,1164029
5,Under middle shcool,Female,60 years old and over,Employment,Persons,31,17,,497,81,567,79
5,High shcool,Male,19 years old and less,Total hours worked,Hours,180.8,194.4,199.2,176.6,139.2,162.8,163.3
5,High shcool,Male,19 years old and less,Monthly Total wage,Won,859553,871786,930983,956126,930005,1005994,1146136
5,High shcool,Male,19 years old and less,Employment,Persons,868,819,844,143,595,237,385
5,High shcool,Male,20 ~ 24,Total hours worked,Hours,200.5,194.6,198.6,199.8,197,192.4,196.5
5,High shcool,Male,20 ~ 24,Monthly Total wage,Won,1034900,1088338,1093741,1185462,1259761,1195665,1282820
5,High shcool,Male,20 ~ 24,Employment,Persons,5655,5878,6448,4711,3665,3035,3360
5,High shcool,Male,25 ~ 29,Total hours worked,Hours,196.5,197.5,202.5,193.5,194.1,190,202.6
5,High shcool,Male,25 ~ 29,Monthly Total wage,Won,1311566,1366603,1397706,1328378,1446698,1522430,1742365
5,High shcool,Male,25 ~ 29,Employment,Persons,13399,15143,13303,11225,13258,11014,12162
5,High shcool,Male,30 ~ 34,Total hours worked,Hours,195.5,190.9,201.6,196.3,201.4,190.4,192.5
5,High shcool,Male,30 ~ 34,Monthly Total wage,Won,1519931,1552354,1686750,1578846,1708008,1659789,1965456
5,High shcool,Male,30 ~ 34,Employment,Persons,18373,20377,18927,17908,17463,17264,18564
5,High shcool,Male,35 ~ 39,Total hours worked,Hours,195.7,194,204,192,202.1,189.7,196.3
5,High shcool,Male,35 ~ 39,Monthly Total wage,Won,1575061,1653762,1602944,1666631,1758353,1798621,2212782
5,High shcool,Male,35 ~ 39,Employment,Persons,17974,18619,17782,20600,19940,21495,28570
5,High shcool,Male,40 ~ 44,Total hours worked,Hours,194.9,194.7,201.2,191.4,196.5,193.1,189.3
5,High shcool,Male,40 ~ 44,Monthly Total wage,Won,1679347,1760620,1794581,1725664,1757263,1752344,2148194
5,High shcool,Male,40 ~ 44,Employment,Persons,19567,19225,19085,19576,21695,20392,22564
5,High shcool,Male,45 ~ 49,Total hours worked,Hours,193.4,197,206.4,191.4,196.4,189.9,188.5
5,High shcool,Male,45 ~ 49,Monthly Total wage,Won,2006208,2019407,2006561,1852307,2200418,1931090,2140686
5,High shcool,Male,45 ~ 49,Employment,Persons,12925,17467,18809,19195,20880,19182,23570
5,High shcool,Male,50 ~ 54,Total hours worked,Hours,194.1,194.2,210,191.2,197,192.7,189.5
5,High shcool,Male,50 ~ 54,Monthly Total wage,Won,1848577,2009519,2282814,2137452,2084294,2107962,2395243
5,High shcool,Male,50 ~ 54,Employment,Persons,7844,9539,9894,11603,12447,14263,17513
5,High shcool,Male,55 ~ 59,Total hours worked,Hours,192.3,188.2,197.8,199.8,194.6,197.1,186.8
5,High shcool,Male,55 ~ 59,Monthly Total wage,Won,1761075,1884006,2008328,1693895,1750514,1967420,2054173
5,High shcool,Male,55 ~ 59,Employment,Persons,3631,5852,6216,5225,6341,10713,7806
5,High shcool,Male,60 years old and over,Total hours worked,Hours,187.9,194.1,192.2,192,183.2,197.3,183.6
5,High shcool,Male,60 years old and over,Monthly Total wage,Won,1498435,1457127,1460616,1633081,1701696,1777239,1767848
5,High shcool,Male,60 years old and over,Employment,Persons,4157,5886,5231,6594,6499,6742,5245
5,High shcool,Female,19 years old and less,Total hours worked,Hours,189,190.1,195.9,206.1,187,171.2,197.6
5,High shcool,Female,19 years old and less,Monthly Total wage,Won,908864,918777,995040,1098003,984111,1578715,902734
5,High shcool,Female,19 years old and less,Employment,Persons,1596,766,573,326,487,87,237
5,High shcool,Female,20 ~ 24,Total hours worked,Hours,183.3,186.3,192.6,191.1,184.9,183.5,175.4
5,High shcool,Female,20 ~ 24,Monthly Total wage,Won,909519,1173516,1044863,1169114,1099676,1455683,1030915
5,High shcool,Female,20 ~ 24,Employment,Persons,5899,5614,4742,3521,1914,2444,1359
5,High shcool,Female,25 ~ 29,Total hours worked,Hours,186.9,189.8,195.2,193.9,193.3,187.5,180.4
5,High shcool,Female,25 ~ 29,Monthly Total wage,Won,985493,1060147,1147419,1200297,1154920,1282404,1302920
5,High shcool,Female,25 ~ 29,Employment,Persons,5967,5828,5155,5149,3521,4199,3385
5,High shcool,Female,30 ~ 34,Total hours worked,Hours,196.7,190.8,197.5,188.8,185.8,181.1,175.6
5,High shcool,Female,30 ~ 34,Monthly Total wage,Won,1060663,1018860,1196607,1387256,1287157,1341881,1476797
5,High shcool,Female,30 ~ 34,Employment,Persons,1838,3006,3714,3451,4496,4874,3160
5,High shcool,Female,35 ~ 39,Total hours worked,Hours,183.5,187.8,200.8,187.9,183.7,186.1,181.3
5,High shcool,Female,35 ~ 39,Monthly Total wage,Won,1227651,1331126,1321065,1481558,1505228,1406638,1308647
5,High shcool,Female,35 ~ 39,Employment,Persons,1210,888,1727,2231,1962,3730,2811
5,High shcool,Female,40 ~ 44,Total hours worked,Hours,190.6,191.2,197,201.5,200,178.7,180.4
5,High shcool,Female,40 ~ 44,Monthly Total wage,Won,997747,1187178,1236878,1510161,1386281,1621290,1440864
5,High shcool,Female,40 ~ 44,Employment,Persons,1301,1251,1034,1442,2822,2420,2142
5,High shcool,Female,45 ~ 49,Total hours worked,Hours,216.2,189.7,200.5,186.1,196.9,176.3,187
5,High shcool,Female,45 ~ 49,Monthly Total wage,Won,944808,1415555,1655724,1311915,1885705,1402738,1465136
5,High shcool,Female,45 ~ 49,Employment,Persons,672,652,1016,1321,1867,1752,3038
5,High shcool,Female,50 ~ 54,Total hours worked,Hours,233.7,182.4,191.8,215.9,198.5,180.8,185.9
5,High shcool,Female,50 ~ 54,Monthly Total wage,Won,971460,1219892,1614867,1313493,1851967,1565306,1610614
5,High shcool,Female,50 ~ 54,Employment,Persons,860,418,249,450,902,846,501
5,High shcool,Female,55 ~ 59,Total hours worked,Hours,220.7,216,207.7,197.9,211,262.6,208.9
5,High shcool,Female,55 ~ 59,Monthly Total wage,Won,1807259,1514000,1641300,1881448,1511193,1753810,2240785
5,High shcool,Female,55 ~ 59,Employment,Persons,220,134,263,163,602,220,473
5,High shcool,Female,60 years old and over,Total hours worked,Hours,172,172.5,176,182.1,141.2,254,185.9
5,High shcool,Female,60 years old and over,Monthly Total wage,Won,1843000,1331518,918218,1738492,1182170,1825975,1700409
5,High shcool,Female,60 years old and over,Employment,Persons,11,226,119,376,283,60,410
5,Jonior college,Male,19 years old and less,Total hours worked,Hours,,,,,,,-
5,Jonior college,Male,19 years old and less,Monthly Total wage,Won,,,,,,,-
5,Jonior college,Male,19 years old and less,Employment,Persons,,,,,,,-
5,Jonior college,Male,20 ~ 24,Total hours worked,Hours,193.9,191.4,209.4,191.7,198.4,186.3,180.6
5,Jonior college,Male,20 ~ 24,Monthly Total wage,Won,977448,1071153,1153832,1066687,1159296,1308424,1341223
5,Jonior college,Male,20 ~ 24,Employment,Persons,3794,3274,4376,2255,2312,2222,2098
5,Jonior college,Male,25 ~ 29,Total hours worked,Hours,194.5,194.5,202.7,197,196.6,188.5,185.7
5,Jonior college,Male,25 ~ 29,Monthly Total wage,Won,1144686,1369351,1329284,1288348,1391951,1535108,1584655
5,Jonior college,Male,25 ~ 29,Employment,Persons,20489,16766,16329,12192,14755,10830,14605
5,Jonior college,Male,30 ~ 34,Total hours worked,Hours,191.9,191,201.8,197.4,192.5,185.8,190.5
5,Jonior college,Male,30 ~ 34,Monthly Total wage,Won,1500231,1692815,1724761,1623221,1759060,1864333,2073094
5,Jonior college,Male,30 ~ 34,Employment,Persons,19926,17542,19131,16721,23320,17002,17222
5,Jonior college,Male,35 ~ 39,Total hours worked,Hours,191.9,189.7,198.5,193.6,193.5,185.2,189.1
5,Jonior college,Male,35 ~ 39,Monthly Total wage,Won,1668625,1937596,2043985,1908179,2107426,2092038,2286268
5,Jonior college,Male,35 ~ 39,Employment,Persons,11394,11715,13848,13080,17128,13813,22627
5,Jonior college,Male,40 ~ 44,Total hours worked,Hours,196.3,190.2,200.7,195.2,193.6,181.7,184.1
5,Jonior college,Male,40 ~ 44,Monthly Total wage,Won,1891173,1918891,1968451,1825580,2145602,2439436,2364156
5,Jonior college,Male,40 ~ 44,Employment,Persons,9164,8744,8859,8422,9560,10718,13799
5,Jonior college,Male,45 ~ 49,Total hours worked,Hours,205.6,193.7,198.6,192.4,185.7,185.9,187.7
5,Jonior college,Male,45 ~ 49,Monthly Total wage,Won,1840975,2008681,1968286,1933316,2118670,2403549,2506326
5,Jonior college,Male,45 ~ 49,Employment,Persons,3820,4574,5551,7502,7495,9509,10887
5,Jonior college,Male,50 ~ 54,Total hours worked,Hours,193.4,190,189.7,196.7,189.5,180.9,187.6
5,Jonior college,Male,50 ~ 54,Monthly Total wage,Won,1937623,1721315,2125498,2049279,2479663,2649541,3287147
5,Jonior college,Male,50 ~ 54,Employment,Persons,1284,1401,1272,2429,2727,4479,4987
5,Jonior college,Male,55 ~ 59,Total hours worked,Hours,187.7,179.5,188,198.1,190.3,179.8,186.1
5,Jonior college,Male,55 ~ 59,Monthly Total wage,Won,1228756,2337498,2073559,1676641,2242384,1813344,3670979
5,Jonior college,Male,55 ~ 59,Employment,Persons,623,205,669,1411,1022,1620,1952
5,Jonior college,Male,60 years old and over,Total hours worked,Hours,204.9,188.5,208.7,199.7,179,185.5,177.7
5,Jonior college,Male,60 years old and over,Monthly Total wage,Won,1351028,1525889,1838333,1688055,2012701,1526832,2084612
5,Jonior college,Male,60 years old and over,Employment,Persons,735,832,405,1326,951,1258,1148
5,Jonior college,Female,19 years old and less,Total hours worked,Hours,,,,168,,,-
5,Jonior college,Female,19 years old and less,Monthly Total wage,Won,,,,1537500,,,-
5,Jonior college,Female,19 years old and less,Employment,Persons,,,,6,,,-
5,Jonior college,Female,20 ~ 24,Total hours worked,Hours,189.8,188.3,197.3,191.8,197.2,178.8,173.1
5,Jonior college,Female,20 ~ 24,Monthly Total wage,Won,745019,923016,1038705,1042789,1145511,1324257,1298426
5,Jonior college,Female,20 ~ 24,Employment,Persons,6348,6874,7239,5968,4578,3856,2105
5,Jonior college,Female,25 ~ 29,Total hours worked,Hours,190.7,189.4,198,191.5,189.4,180,180.9
5,Jonior college,Female,25 ~ 29,Monthly Total wage,Won,854975,1053931,1118142,1225734,1258523,1244484,1340731
5,Jonior college,Female,25 ~ 29,Employment,Persons,6332,5723,7162,6789,8301,8844,5416
5,Jonior college,Female,30 ~ 34,Total hours worked,Hours,191.2,193,197.5,194.1,187.4,181.1,184.9
5,Jonior college,Female,30 ~ 34,Monthly Total wage,Won,1076677,1076244,1117431,1357671,1286846,1293887,1418715
5,Jonior college,Female,30 ~ 34,Employment,Persons,2428,1927,3292,4172,4315,4216,3728
5,Jonior college,Female,35 ~ 39,Total hours worked,Hours,183,182.8,194.3,192,185.2,177.3,182
5,Jonior college,Female,35 ~ 39,Monthly Total wage,Won,1426450,1783729,1634712,1446200,1492639,1225301,2064392
5,Jonior college,Female,35 ~ 39,Employment,Persons,466,447,475,1112,2211,1919,2338
5,Jonior college,Female,40 ~ 44,Total hours worked,Hours,179.5,182.7,202.4,192.3,199.1,171.3,182.2
5,Jonior college,Female,40 ~ 44,Monthly Total wage,Won,1718420,1331315,1462646,1911500,1917497,1203548,1543217
5,Jonior college,Female,40 ~ 44,Employment,Persons,146,330,646,276,792,296,797
5,Jonior college,Female,45 ~ 49,Total hours worked,Hours,201.7,181,205.8,180.4,203.5,192.6,181.7
5,Jonior college,Female,45 ~ 49,Monthly Total wage,Won,702587,1857673,2549376,1596059,1994640,1673557,1636487
5,Jonior college,Female,45 ~ 49,Employment,Persons,230,55,85,188,300,703,485
5,Jonior college,Female,50 ~ 54,Total hours worked,Hours,176,180,,214.2,196.7,173.2,186.2
5,Jonior college,Female,50 ~ 54,Monthly Total wage,Won,1340450,1210500,,1237820,2088674,1727106,1296277
5,Jonior college,Female,50 ~ 54,Employment,Persons,55,254,,100,282,208,217
5,Jonior college,Female,55 ~ 59,Total hours worked,Hours,,176,,168,,172,-
5,Jonior college,Female,55 ~ 59,Monthly Total wage,Won,,2972000,,2105000,,717301,-
5,Jonior college,Female,55 ~ 59,Employment,Persons,,10,,3,,126,-
5,Jonior college,Female,60 years old and over,Total hours worked,Hours,184,,,184,,174,188
5,Jonior college,Female,60 years old and over,Monthly Total wage,Won,1425000,,,743000,,1961104,2121000
5,Jonior college,Female,60 years old and over,Employment,Persons,11,,,114,,77,196
5,College and university and over,Male,19 years old and less,Total hours worked,Hours,,,,160,,,-
5,College and university and over,Male,19 years old and less,Monthly Total wage,Won,,,,618000,,,-
5,College and university and over,Male,19 years old and less,Employment,Persons,,,,131,,,-
5,College and university and over,Male,20 ~ 24,Total hours worked,Hours,187.2,192.6,175.9,182.6,186.2,162,181.3
5,College and university and over,Male,20 ~ 24,Monthly Total wage,Won,934500,1129682,1085205,1205623,1397009,1148620,1226459
5,College and university and over,Male,20 ~ 24,Employment,Persons,592,1096,537,568,745,1103,1411
5,College and university and over,Male,25 ~ 29,Total hours worked,Hours,190.8,190,193.6,193.3,193.6,182.3,179.2
5,College and university and over,Male,25 ~ 29,Monthly Total wage,Won,1243157,1335193,1374821,1535858,1636430,1682123,2016816
5,College and university and over,Male,25 ~ 29,Employment,Persons,19864,17350,18089,15516,20921,20568,22250
5,College and university and over,Male,30 ~ 34,Total hours worked,Hours,187.8,190,193.8,193.1,190.4,179.3,178.2
5,College and university and over,Male,30 ~ 34,Monthly Total wage,Won,1687697,1768058,1781433,1902120,1976099,2050673,2299222
5,College and university and over,Male,30 ~ 34,Employment,Persons,29416,28195,28660,26981,31233,30783,29976
5,College and university and over,Male,35 ~ 39,Total hours worked,Hours,188,187.4,192.8,190.4,188.5,177.7,176.1
5,College and university and over,Male,35 ~ 39,Monthly Total wage,Won,2103445,2217820,2332430,2396468,2565940,2622037,2798506
5,College and university and over,Male,35 ~ 39,Employment,Persons,26409,26381,26787,29733,30863,33958,34441
5,College and university and over,Male,40 ~ 44,Total hours worked,Hours,188.3,186.5,193.4,189.1,189.9,176.6,177
5,College and university and over,Male,40 ~ 44,Monthly Total wage,Won,2303641,2346176,2621531,2763513,2857399,2946363,2953704
5,College and university and over,Male,40 ~ 44,Employment,Persons,16880,18155,17026,21181,26183,26738,27569
5,College and university and over,Male,45 ~ 49,Total hours worked,Hours,186.5,187.7,194,185.8,186.6,178.5,180.9
5,College and university and over,Male,45 ~ 49,Monthly Total wage,Won,2708759,2595613,2808637,3077515,3176316,3259321,3226833
5,College and university and over,Male,45 ~ 49,Employment,Persons,9929,10257,11567,14464,15962,18986,21426
5,College and university and over,Male,50 ~ 54,Total hours worked,Hours,186.9,181.7,196,183.9,186.9,175.2,180.2
5,College and university and over,Male,50 ~ 54,Monthly Total wage,Won,2946872,2995160,3391430,3520817,3366924,3519972,3580658
5,College and university and over,Male,50 ~ 54,Employment,Persons,4591,6079,6916,8257,8672,10816,10434
5,College and university and over,Male,55 ~ 59,Total hours worked,Hours,183.7,188.9,193.4,188.8,186,177.9,178.8
5,College and university and over,Male,55 ~ 59,Monthly Total wage,Won,2126618,2244930,2958276,2994130,4493529,4106314,3959603
5,College and university and over,Male,55 ~ 59,Employment,Persons,3729,4172,3756,3219,4880,5568,5299
5,College and university and over,Male,60 years old and over,Total hours worked,Hours,183.8,184.2,192.3,186.8,186,177,181.5
5,College and university and over,Male,60 years old and over,Monthly Total wage,Won,2221676,2726915,2681849,2729138,2950441,2701769,2772798
5,College and university and over,Male,60 years old and over,Employment,Persons,3646,3256,4443,4232,5233,5404,4182
5,College and university and over,Female,19 years old and less,Total hours worked,Hours,,,,,,,-
5,College and university and over,Female,19 years old and less,Monthly Total wage,Won,,,,,,,-
5,College and university and over,Female,19 years old and less,Employment,Persons,,,,,,,-
5,College and university and over,Female,20 ~ 24,Total hours worked,Hours,182.7,186.7,192.3,184,202.1,183.6,177.8
5,College and university and over,Female,20 ~ 24,Monthly Total wage,Won,823978,1527727,1113650,1123326,1221705,1315706,1275709
5,College and university and over,Female,20 ~ 24,Employment,Persons,2117,2331,2410,2780,2644,2872,2164
5,College and university and over,Female,25 ~ 29,Total hours worked,Hours,184.6,185,191.2,192.6,183,177.9,176.2
5,College and university and over,Female,25 ~ 29,Monthly Total wage,Won,1015998,1146211,1241888,1378290,1318105,1406714,1578019
5,College and university and over,Female,25 ~ 29,Employment,Persons,5924,6040,5961,4775,6102,7300,6676
5,College and university and over,Female,30 ~ 34,Total hours worked,Hours,188.1,181,192.9,188.4,189.8,176.3,178.5
5,College and university and over,Female,30 ~ 34,Monthly Total wage,Won,1164437,1324124,1367090,1479617,1469798,1542842,1835967
5,College and university and over,Female,30 ~ 34,Employment,Persons,2509,2220,2966,3955,4955,5346,4988
5,College and university and over,Female,35 ~ 39,Total hours worked,Hours,184.5,184.4,197.2,191.5,195,182,176.9
5,College and university and over,Female,35 ~ 39,Monthly Total wage,Won,1445595,1639365,1746349,1593080,1520269,1631339,1627079
5,College and university and over,Female,35 ~ 39,Employment,Persons,990,1590,1133,1414,2110,1829,2674
5,College and university and over,Female,40 ~ 44,Total hours worked,Hours,195.4,187.3,193.4,185.7,187.4,190,174.7
5,College and university and over,Female,40 ~ 44,Monthly Total wage,Won,1744379,1597539,1833952,1437960,1807944,2434400,2581296
5,College and university and over,Female,40 ~ 44,Employment,Persons,943,1286,1382,376,1367,529,1032
5,College and university and over,Female,45 ~ 49,Total hours worked,Hours,174,170.3,189.5,186.6,190.1,173.7,178.4
5,College and university and over,Female,45 ~ 49,Monthly Total wage,Won,1669535,3439254,1898227,3018493,3383099,3180394,1749533
5,College and university and over,Female,45 ~ 49,Employment,Persons,213,323,717,371,384,464,930
5,College and university and over,Female,50 ~ 54,Total hours worked,Hours,180.4,178,189.2,205.3,183.6,203.1,179.6
5,College and university and over,Female,50 ~ 54,Monthly Total wage,Won,1458856,1861885,2087858,4256885,3678954,1722479,1853191
5,College and university and over,Female,50 ~ 54,Employment,Persons,94,279,330,156,306,286,678
5,College and university and over,Female,55 ~ 59,Total hours worked,Hours,192,192,176,244.7,,187,186.7
5,College and university and over,Female,55 ~ 59,Monthly Total wage,Won,1092500,1361000,1466000,1472989,,1434601,3287153
5,College and university and over,Female,55 ~ 59,Employment,Persons,69,82,212,88,,126,108
5,College and university and over,Female,60 years old and over,Total hours worked,Hours,168,173.8,184,184,,181.1,162
5,College and university and over,Female,60 years old and over,Monthly Total wage,Won,3142600,2934094,3077936,765000,,1110103,1356000
5,College and university and over,Female,60 years old and over,Employment,Persons,25,32,47,28,,82,17
6,Under middle shcool,Male,19 years old and less,Total hours worked,Hours,208.9,218.8,208,90.7,183,164,200.6
6,Under middle shcool,Male,19 years old and less,Monthly Total wage,Won,581590,810313,517000,573154,1040000,1085000,860361
6,Under middle shcool,Male,19 years old and less,Employment,Persons,264,224,42,130,1,7,102
6,Under middle shcool,Male,20 ~ 24,Total hours worked,Hours,269.5,173.9,284.6,192.3,,212.5,185.3
6,Under middle shcool,Male,20 ~ 24,Monthly Total wage,Won,974794,1010342,1000205,740472,,1375431,1336241
6,Under middle shcool,Male,20 ~ 24,Employment,Persons,242,228,166,125,,317,189
6,Under middle shcool,Male,25 ~ 29,Total hours worked,Hours,197.8,207.3,252.1,177.1,195.2,179.2,182.7
6,Under middle shcool,Male,25 ~ 29,Monthly Total wage,Won,1328116,1563719,1036087,1295414,1024843,1436778,1280837
6,Under middle shcool,Male,25 ~ 29,Employment,Persons,1128,455,161,152,357,531,302
6,Under middle shcool,Male,30 ~ 34,Total hours worked,Hours,194,183.4,199.6,179.7,217.1,212.8,179.8
6,Under middle shcool,Male,30 ~ 34,Monthly Total wage,Won,1455767,1418993,1389545,1672813,1359796,1341294,1667697
6,Under middle shcool,Male,30 ~ 34,Employment,Persons,919,441,233,487,240,17,251
6,Under middle shcool,Male,35 ~ 39,Total hours worked,Hours,195,192.7,225.6,274.7,197.6,191.1,197.2
6,Under middle shcool,Male,35 ~ 39,Monthly Total wage,Won,1480242,1562238,1684777,1694106,2215318,1546817,1996967
6,Under middle shcool,Male,35 ~ 39,Employment,Persons,1717,671,557,265,277,619,327
6,Under middle shcool,Male,40 ~ 44,Total hours worked,Hours,207.3,201.9,217.3,208,228.9,221.4,182.8
6,Under middle shcool,Male,40 ~ 44,Monthly Total wage,Won,1507258,1717425,1774662,2166274,1650524,1868312,1822409
6,Under middle shcool,Male,40 ~ 44,Employment,Persons,1681,2059,1091,813,737,223,528
6,Under middle shcool,Male,45 ~ 49,Total hours worked,Hours,204.8,208.6,198.7,233.7,248.6,229.3,185.2
6,Under middle shcool,Male,45 ~ 49,Monthly Total wage,Won,1514713,1973642,1622737,2037551,1829807,1888703,2016063
6,Under middle shcool,Male,45 ~ 49,Employment,Persons,2165,2407,2099,2619,1743,1150,1450
6,Under middle shcool,Male,50 ~ 54,Total hours worked,Hours,196.9,198.2,216.9,233,255.4,201,197.5
6,Under middle shcool,Male,50 ~ 54,Monthly Total wage,Won,1504041,1650666,1694617,2036092,2055344,1691332,1921155
6,Under middle shcool,Male,50 ~ 54,Employment,Persons,2029,2628,2085,1689,1959,1547,1140
6,Under middle shcool,Male,55 ~ 59,Total hours worked,Hours,209.7,222.5,233.6,216.4,208.9,205.2,190.3
6,Under middle shcool,Male,55 ~ 59,Monthly Total wage,Won,1619326,1334745,1274969,1651237,1157237,1698069,1550814
